state_name,county_name,city_name,level,date,link,type,type_name
Oklahoma,,Oklahoma City,city,2020-03-28,https://www.okc.gov/Home/Components/News/News/3321/18,2,Shelter in Place
Oklahoma,,Sallisaw,city,2020-04-04,http://www.sallisawok.org/DocumentCenter/View/1505/COVID19PROCLAMATIONSallisaw,2,Shelter in Place
Oklahoma,,Stillwater,city,2020-03-30,https://bloximages.chicago2.vip.townnews.com/stwnewspress.com/content/tncms/assets/v3/editorial/9/fd/9fd948f6-72b6-11ea-ad8d-6b4683f0a441/5e823e65d9b25.pdf.pdf,2,Shelter in Place
Oklahoma,,Tulsa,city,2020-03-28,http://www.cityoftulsa.org/media/12617/2020-04.pdf,2,Shelter in Place
Oregon,,,state,2020-03-08,https://www.oregon.gov/gov/admin/Pages/eo_20-03.aspx,1,Public Health Emergency/State of Emergency
Oregon,,,state,2020-03-23,https://www.oregon.gov/gov/admin/Pages/eo_20-12.aspx,2,"Stay Home, Save Lives"
Pennsylvania,,,state,2020-03-06,https://www.governor.pa.gov/wp-content/uploads/2020/03/20200306-COVID19-Digital-Proclamation.pdf,1,Disaster Emergency
Pennsylvania,,,state,2020-04-01,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,2,Stay at Home
Puerto Rico,,,state,2020-03-12,https://basecero.ogp.pr.gov/apex/apex_util.get_blob?s=1774756926554&a=161&c=112063554695324788&p=15&k1=4717&k2=&ck=kHNoHG_O7nNBk-0XtbrJdU3DsR6FLvWkJhgPxkK4HxQuu-kRDiV-1-urpXUS73jlWhTZ6YnDNWaXcy_uFXmxQA&rt=IR,1,State of Emergency
Puerto Rico,,,state,2020-03-15,https://basecero.ogp.pr.gov/apex/apex_util.get_blob?s=1774756926554&a=161&c=112063554695324788&p=15&k1=4724&k2=&ck=tT1e5PDHt7RkpMSPjeAr-m_gHkZ_RAyG4zKBjjJ4bGHlOOxgESzVnETSvOg1_aZt5YMTUSdyC9N3I-ZaJusthg&rt=IR,2,Curfew
Rhode Island,,,state,2020-03-09,https://governor.ri.gov/documents/orders/Executive-Order-20-02.pdf,1,Disaster Emergency
Rhode Island,,,state,2020-03-28,https://governor.ri.gov/documents/orders/Executive-Order-20-13.pdf,2,Staying at and Working from Home
South Carolina,,,state,2020-03-13,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-13%20FILED%20Executive%20Order%20No.%202020-08%20-%20State%20of%20Emergency%20Due%20to%20Coronavirus%20(COVID-19).pdf,1,State of Emergency
South Carolina,,,state,2020-04-06,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-04-06%20eFILED%20Executive%20Order%20No.%202020-21%20-%20Stay%20at%20Home%20or%20Work%20Order.pdf,2,Executive Order No. 2020-21
South Dakota,,,state,2020-03-13,https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/2020-03/South%20Dakota%20General%20-%20Executive%20Orders.pdf,1,State of Emergency
South Dakota,,,state,,,2,
South Dakota,,,state,,,3,
Tennessee,,,state,2020-03-12,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee14.pdf,1,State of Emergency
Tennessee,,,state,2020-03-31,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee22.pdf,2,Safer at Home
Texas,,,state,2020-03-13,https://gov.texas.gov/uploads/files/press/DISASTER_covid19_disaster_proclamation_IMAGE_03-13-2020.pdf,1,State of Disaster
Texas,,,state,2020-04-02,https://lrl.texas.gov/scanned/govdocs/Greg%20Abbott/2020/GA-14.pdf,2,Stay at Home
Utah,,,state,2020-03-06,https://governor.utah.gov/2020/03/06/gov-herbert-declares-state-of-emergency/,1,State of Emergency
